angDist,match_file,id,aic_flare,chi_flare,dof_flare,red_flare,aic_gauss,chi_gauss,dof_gauss,red_gauss,exp_comp,perc_comp,fl_indx,equivdur,ra,dec,xpos,ypos,flare_time,end_time,flare_end_diff,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.415276,ztf_000539_zr_c01_q4_match_programid,2375,43.1136177001962,35.113617793168395,24,1.4630674080486832,35.498593453458284,27.4985935974037,24,1.1457747332251542,0.022203349494173043,-7.615024246737917,[57 58 59],422.65356036896776,288.1051685,8.7898397,1506.294,356.369,58334.2164583,58334.298588,0.08028940000076545,288.1050800202830,8.7899149382942,0.029,0.028,90,4308844885094590080,288.10506771417,0.7799,8.78986973632,0.7833,0.1419,1.0155,-2.825,1.877,-10.499,1.832,0,1.32361e+02,1.16777e+00,20.383966,7.28370e+01,1.30695e+01,20.695509,1.61462e+02,1.11131e+01,19.241743,1.453766,,,0,,,,,
0.012368,ztf_000539_zr_c01_q4_match_programid,3611,33.687920579582126,25.687920482706552,29,0.8857903614726397,23.224007992252968,15.224007916851724,29,0.5249657902362663,0.005343062472548122,-10.463912587329158,[127 128 129],104.64864616771493,287.7922748,8.7562091,2612.952,490.042,58334.2699769,58334.298588,0.026759299995319452,287.7922758826673,8.7562058352625,0.006,0.005,90,4307392430232360192,287.79226566564,0.1657,8.75620223395,0.1767,0.5650,0.2208,-2.345,0.359,-0.836,0.323,0,6.94922e+02,1.45953e+00,18.583525,1.34346e+02,9.94970e+00,20.030828,9.12611e+02,1.15660e+01,17.361206,2.669622,,,0,,,,,
0.044529,ztf_000539_zr_c01_q4_match_programid,4599,126.32468795763766,118.32468911852256,60,1.9720781519753758,34.016862902884284,26.01686291747781,60,0.4336143819579635,9.028393327317918E-21,-92.30782505475338,[83 84 85 86 87],199.23918279170954,287.9699213,8.7258192,1980.842,591.389,58334.229375,58334.298588,0.06552089999604505,287.9699315015831,8.7258120363297,0.006,0.006,90,4308889488326007424,287.96993201351,0.1913,8.72580245557,0.2105,1.1029,0.2912,0.118,0.403,-2.225,0.363,0,4.72120e+03,9.05840e+00,16.503235,1.28101e+03,9.06639e+00,17.582506,5.44303e+03,1.56137e+01,15.422319,2.160187,,,0,3587.00,2.9490,1.5095,,
0.612813,ztf_000539_zr_c01_q4_match_programid,4599,126.32468795763766,118.32468911852256,60,1.9720781519753758,34.016862902884284,26.01686291747781,60,0.4336143819579635,9.028393327317918E-21,-92.30782505475338,[83 84 85 86 87],199.23918279170954,287.9699213,8.7258192,1980.842,591.389,58334.229375,58334.298588,0.06552089999604505,287.9697851120669,8.7259233946458,0.002,0.001,0,4308889488335030144,287.96978511207,1.4480,8.72592339465,2.0132,,,,,,,0,3.37433e+02,3.72042e+00,19.367895,,,,,,,,,,0,,,,,
1.503114,ztf_000539_zr_c01_q4_match_programid,17724,97.70039585402394,89.70039539145483,50,1.7940079078290967,51.0934930690642,43.093493188977526,50,0.8618698637795505,7.575994504150808E-11,-46.606902784959736,[55 56 57 58 59],995.3796152838312,287.811362,8.3615071,2518.678,1893.062,58334.2155324,58334.298588,0.07936350000090897,287.8109858911329,8.3613177167494,0.032,0.031,0,4307326944864824576,287.81096597718,1.0510,8.36128963095,1.4981,-1.0046,1.6218,-4.576,2.008,-6.523,2.040,0,1.18886e+02,1.28333e+00,20.500538,7.90708e+01,1.14653e+01,20.606348,1.70162e+02,7.70877e+00,19.184763,1.421585,,,0,,,,,
1.130880,ztf_000539_zr_c01_q4_match_programid,49736,152.74464466743862,144.7446425382523,12,12.062053544854358,27.88030215238167,19.88030208944854,12,1.6566918407873785,7.692234752486209E-28,-124.86434251505695,[83 84 85],2046.7051437424795,288.3905014,8.0947374,477.134,2812.087,58334.2801389,58334.2967477,0.013842599997587968,288.3907779683950,8.0945834317682,0.030,0.029,90,4306546085469606912,288.39075865296,0.8787,8.09455229527,0.9113,1.0484,1.0532,-4.441,1.964,-7.232,1.858,0,1.20038e+02,1.15399e+00,20.490068,2.35415e+01,5.96042e+00,21.921803,1.87355e+02,8.79289e+00,19.080256,2.841547,,,0,,,,,
0.305545,ztf_000539_zr_c01_q4_match_programid,52983,24.712092790413312,16.71209273695656,27,0.6189663976650578,16.427108969660736,8.427108967197796,27,0.3121151469332517,0.01588322258199582,-8.284983820752576,[106 107 108],123.81331762563457,288.0957206,8.7877196,1545.591,364.88,58334.2533681,58334.298588,0.043379700000514276,288.0957158866508,8.7876348541813,0.013,0.012,90,4308844855034877824,288.09570554816,0.4093,8.78764105594,0.3933,1.0287,0.5427,-2.373,0.858,1.440,0.792,0,3.72513e+02,1.55899e+00,19.260513,1.31426e+02,2.40091e+01,20.054684,6.06650e+02,3.55053e+01,17.804575,2.250109,,,0,,,,,
1.288899,ztf_000539_zr_c01_q4_match_programid,52983,24.712092790413312,16.71209273695656,27,0.6189663976650578,16.427108969660736,8.427108967197796,27,0.3121151469332517,0.01588322258199582,-8.284983820752576,[106 107 108],123.81331762563457,288.0957206,8.7877196,1545.591,364.88,58334.2533681,58334.298588,0.043379700000514276,288.0954683896903,8.7879766183498,0.002,0.002,0,4308844855025829632,288.09546838969,1.8588,8.78797661835,1.9254,,,,,,,0,1.27904e+02,2.07923e+00,20.421156,,,,,,,,,,0,,,,,
0.125879,ztf_000539_zr_c01_q4_match_programid,53826,610.3981147762569,602.3981188376712,77,7.823352192697028,254.73789099539266,246.73789199757678,77,3.2043882077607373,5.879815377912845E-78,-355.6602237808642,[84 85 86 87 88 89],590.4495075568191,287.9684516,8.7245704,1985.948,595.899,58334.229375,58334.298588,0.06459489999542711,287.9684486026615,8.7245355593766,0.005,0.004,90,4308889488335029760,287.96844633576,0.1471,8.72452022765,0.1579,0.0686,0.2097,-0.520,0.305,-3.561,0.269,0,8.91901e+02,1.74230e+00,18.312574,1.78148e+02,5.72265e+00,19.724438,1.07779e+03,8.15632e+00,17.180586,2.543852,,,0,,,,,
0.935737,ztf_000539_zr_c01_q4_match_programid,68839,130.50952187812544,122.50952329076232,22,5.5686146950346505,23.405660375167358,15.405660267879673,22,0.7002572849036215,5.529577882697679E-24,-107.10386150295808,[62 63 64],704.592266164512,287.9632445,8.7265492,2004.473,589.125,58334.2303009,58334.298588,0.06644679999590153,287.9633902577230,8.7267655464174,0.029,0.026,0,4308889488326012800,287.96337819314,0.7126,8.72673119236,0.8090,-0.9166,1.0862,-2.770,1.685,-7.979,1.847,0,1.19066e+02,1.25210e+00,20.498896,3.19631e+01,7.62995e+00,21.589766,1.49069e+02,7.60482e+00,19.328450,2.261316,,,0,,,,,
