match_file,id,aic_flare,chi_flare,dof_flare,red_flare,aic_gauss,chi_gauss,dof_gauss,red_gauss,exp_comp,perc_comp,ra,dec
ztf_000436_zr_c01_q1_match_programid2,33146,26.12984108913662,18.129841179503714,24,0.7554100491459881,24.166865670524718,16.16686580451401,24,0.6736194085214171,0.37475316016520577,-1.9629754186119008,287.3959775,-5.149021
ztf_000436_zr_c01_q1_match_programid2,34396,28.90250977200915,20.90250979476824,24,0.8709379081153433,121.78532951594373,113.78533050601551,24,4.741055437750647,1.4765495962974765e+20,92.88281974393458,287.7608331,-5.1687817
ztf_000436_zr_c01_q1_match_programid2,65253,56.14674198273677,48.14674248862738,32,1.5045857027696057,25.444375578944193,17.44437571675473,32,0.5451367411485853,2.1531081493698057e-07,-30.702366403792578,287.7007781,-4.9348946
ztf_000436_zr_c01_q1_match_programid2,67219,31.952824036959687,23.952824259489226,48,0.4990171720726922,29.311256597125094,21.311256764475615,48,0.44398451592657534,0.26692602472716875,-2.641567439834592,287.4219292,-4.9821313
ztf_000436_zr_c01_q1_match_programid2,98283,67.41471496630172,59.4147150099765,67,0.8867867911936791,49.48195698708876,41.4819571982639,67,0.6191336895263269,0.00012762950420476765,-17.93275797921296,287.5974156,-4.9718303
ztf_000436_zr_c01_q1_match_programid2,103617,72.26912863694486,64.2691289801705,107,0.6006460652352383,53.27225550272784,45.272255605784025,107,0.4231051925774208,7.49689472292312e-05,-18.99687313421702,287.3982061,-5.136678
ztf_000436_zr_c01_q1_match_programid2,116468,12.740740809231825,4.740740818226804,10,0.4740740818226804,14.410081061330487,6.410081044539017,10,0.6410081044539017,2.3040538755588305,1.669340252098662,287.4900472,-4.6730495
ztf_000436_zr_c01_q1_match_programid2,117367,16.456656711516793,8.456656695567156,49,0.1725848305217787,16.432958756653594,8.432958746244307,49,0.17210119890294504,0.9882209452582172,-0.02369795486319859,287.6680009,-4.7099764
ztf_000436_zr_c01_q1_match_programid2,123504,31.876003562943545,23.87600370016849,28,0.8527144178631604,16.104681365142106,8.104681288832772,28,0.28945290317259903,0.00037609789143408073,-15.771322197801439,287.4233941,-4.9754293
ztf_000436_zr_c01_q1_match_programid2,127291,18.77098168845693,10.770981807705741,59,0.18255901368992783,16.92640807307157,8.926408098905346,59,0.15129505252381945,0.39760874590738754,-1.844573615385361,287.3972278,-5.1403152
ztf_000436_zr_c01_q1_match_programid2,133369,35.78444074487891,27.784440973423035,54,0.5145266846930192,28.707938345121207,20.70793858859806,54,0.3834803442332974,0.029064109983743095,-7.0765023997577,287.1752321,-5.3812419
ztf_000436_zr_c01_q1_match_programid2,145028,34.48825120859694,26.488251433987408,45,0.5886278096441646,39.658991524119784,31.658991775317993,45,0.7035331505626221,13.268199508125294,5.170740315522842,287.9423433,-5.3845885
ztf_000436_zr_c01_q1_match_programid2,152114,29.91203957977434,21.912039349240636,56,0.39128641695072564,30.21464460182443,22.21464443698996,56,0.3966900792319636,1.1633485306129558,0.30260502205008777,287.7521015,-5.4815961
ztf_000436_zr_c01_q1_match_programid2,20711,73.96242503740858,65.96242538502058,104,0.6342540902405825,64.39798165561452,56.3979819100759,104,0.5422882875968836,0.008377366358626733,-9.564443381794064,288.0343351,-5.1536951
ztf_000436_zr_c01_q2_match_programid2,1406,21.755823180010516,13.755823227973037,30,0.4585274409324346,20.836567446988955,12.83656749455859,30,0.427885583151953,0.6315186110091701,-0.9192557330215614,286.6049659,-4.6701907
ztf_000436_zr_c01_q2_match_programid2,1484,18.017871676523313,10.017871805464338,9,1.1130968672738153,11.827225315269313,3.827225278670734,9,0.4252472531856371,0.04526038281747645,-6.190646361254,286.6437094,-4.6715423
ztf_000436_zr_c01_q2_match_programid2,1495,11.408756809942096,3.4087568753591926,13,0.2622120673353225,11.166059355903785,3.166059406585361,13,0.24354303127579702,0.8857250294805458,-0.24269745403831067,286.6266405,-4.6714698
ztf_000436_zr_c01_q2_match_programid2,1498,23.219321733724662,15.21932149673714,13,1.1707170382105492,21.697833630767942,13.697833353843464,13,1.0536794887571896,0.46731858853442637,-1.5214881029567202,286.61596,-4.6715922
ztf_000436_zr_c01_q2_match_programid2,1503,18.261307101590965,10.261307048829451,20,0.5130653524414726,17.500838608223713,9.50083856123192,20,0.47504192806159595,0.6837012357059767,-0.7604684933672523,286.5998055,-4.671776
ztf_000436_zr_c01_q2_match_programid2,1526,20.689514873440014,12.689514886578047,10,1.2689514886578048,42.52863607981698,34.52863672025143,10,3.452863672025143,55246.51846511631,21.839121206376962,287.0503769,-4.6725005
ztf_000436_zr_c01_q2_match_programid2,1548,15.29391747140882,7.293917465622493,12,0.6078264554685411,15.51767817948802,7.517678184543316,12,0.6264731820452764,1.1183790431051368,0.22376070807919923,286.6326578,-4.672546
ztf_000436_zr_c01_q2_match_programid2,1676,11.389755746611765,3.3897557070098054,10,0.33897557070098056,11.599147510555447,3.5991474695460886,10,0.35991474695460884,1.1103728745933985,0.20939176394368175,286.3476219,-4.6746736
ztf_000436_zr_c01_q2_match_programid2,2862,244.4473628205269,236.44736227851718,52,4.5470646592022534,184.8042805466893,176.80428007101466,52,3.400082309057974,1.1185856468863085e-13,-59.64308227383759,286.5681209,-4.6932377
ztf_000436_zr_c01_q2_match_programid2,31779,22.659999546148782,14.659999370079023,49,0.2991836606138576,20.31064464040101,12.310644471711141,49,0.2512376422798192,0.30891860442838054,-2.3493549057477736,286.8525802,-5.1864507
