match_file,id,type,mintime,maxtime,ra,dec,equivdur
ztf_000436_zr_c14_q3_match_programid2.pytable,67941,sources,58348.2310532,58348.2328819,284.4477708,-0.2972978,191.75875162821347
ztf_000436_zr_c14_q3_match_programid2.pytable,124717,sources,58347.2826042,58347.2844444,285.1823402,0.1058378,-123.03110070913962
ztf_000436_zr_c14_q3_match_programid2.pytable,131153,sources,58347.2830671,58347.2849074,284.8201372,-0.1239076,-292.2588841438888
ztf_000436_zr_c14_q3_match_programid2.pytable,155870,sources,58347.2311574,58347.2329977,284.4747438,-0.2309485,432.42006794590515
ztf_000436_zr_c14_q3_match_programid2.pytable,22801,transients,58348.2310532,58348.2328819,285.3089316,-0.0616264,203.8499347929612
ztf_000436_zr_c14_q3_match_programid2.pytable,123874,transients,58348.221875,58348.2237037,285.081382,-0.6585028,502.6639188970825
